Provinces;Population;Sex;Age;Year;Total
18 Granada;TOTAL;Hombres;65-69 años;2019;21.057
18 Granada;TOTAL;Hombres;70-74 años;2019;17.938
18 Granada;TOTAL;Hombres;75-79 años;2019;13.108
18 Granada;TOTAL;Hombres;80-84 años;2019;10.151
18 Granada;TOTAL;Hombres;85-89 años;2019;6.512
18 Granada;TOTAL;Hombres;90-94 años;2019;2.049
18 Granada;TOTAL;Hombres;95-99 años;2019;396
18 Granada;TOTAL;Hombres;100 años y más;2019;68
19 Guadalajara;TOTAL;Hombres;0-4 años;2019;6.252
19 Guadalajara;TOTAL;Hombres;5-9 años;2019;7.667
19 Guadalajara;TOTAL;Hombres;10-14 años;2019;7.865
19 Guadalajara;TOTAL;Hombres;15-19 años;2019;7.217
19 Guadalajara;TOTAL;Hombres;20-24 años;2019;6.372
19 Guadalajara;TOTAL;Hombres;25-29 años;2019;6.743
19 Guadalajara;TOTAL;Hombres;30-34 años;2019;7.925
19 Guadalajara;TOTAL;Hombres;35-39 años;2019;10.559
19 Guadalajara;TOTAL;Hombres;40-44 años;2019;12.738
19 Guadalajara;TOTAL;Hombres;45-49 años;2019;11.528
19 Guadalajara;TOTAL;Hombres;50-54 años;2019;10.575
19 Guadalajara;TOTAL;Hombres;55-59 años;2019;8.919
19 Guadalajara;TOTAL;Hombres;60-64 años;2019;7.139
19 Guadalajara;TOTAL;Hombres;65-69 años;2019;5.366
19 Guadalajara;TOTAL;Hombres;70-74 años;2019;4.554
19 Guadalajara;TOTAL;Hombres;75-79 años;2019;3.084
19 Guadalajara;TOTAL;Hombres;80-84 años;2019;2.649
19 Guadalajara;TOTAL;Hombres;85-89 años;2019;2.134
19 Guadalajara;TOTAL;Hombres;90-94 años;2019;986
19 Guadalajara;TOTAL;Hombres;95-99 años;2019;235
19 Guadalajara;TOTAL;Hombres;100 años y más;2019;27
21 Huelva;TOTAL;Hombres;0-4 años;2019;11.983
21 Huelva;TOTAL;Hombres;5-9 años;2019;14.300
21 Huelva;TOTAL;Hombres;10-14 años;2019;15.388
21 Huelva;TOTAL;Hombres;15-19 años;2019;13.946
21 Huelva;TOTAL;Hombres;20-24 años;2019;14.139
21 Huelva;TOTAL;Hombres;25-29 años;2019;15.806
21 Huelva;TOTAL;Hombres;30-34 años;2019;17.309
21 Huelva;TOTAL;Hombres;35-39 años;2019;20.746
21 Huelva;TOTAL;Hombres;40-44 años;2019;23.125
21 Huelva;TOTAL;Hombres;45-49 años;2019;21.480
21 Huelva;TOTAL;Hombres;50-54 años;2019;20.152
21 Huelva;TOTAL;Hombres;55-59 años;2019;17.231
21 Huelva;TOTAL;Hombres;60-64 años;2019;14.484
21 Huelva;TOTAL;Hombres;65-69 años;2019;11.860
21 Huelva;TOTAL;Hombres;70-74 años;2019;10.353
21 Huelva;TOTAL;Hombres;75-79 años;2019;7.168
21 Huelva;TOTAL;Hombres;80-84 años;2019;4.870
21 Huelva;TOTAL;Hombres;85-89 años;2019;2.989
21 Huelva;TOTAL;Hombres;90-94 años;2019;879
21 Huelva;TOTAL;Hombres;95-99 años;2019;175
21 Huelva;TOTAL;Hombres;100 años y más;2019;30
22 Huesca;TOTAL;Hombres;0-4 años;2019;4.638
22 Huesca;TOTAL;Hombres;5-9 años;2019;5.232
22 Huesca;TOTAL;Hombres;10-14 años;2019;5.466
22 Huesca;TOTAL;Hombres;15-19 años;2019;5.115
22 Huesca;TOTAL;Hombres;20-24 años;2019;5.509
22 Huesca;TOTAL;Hombres;25-29 años;2019;5.639
22 Huesca;TOTAL;Hombres;30-34 años;2019;6.454
22 Huesca;TOTAL;Hombres;35-39 años;2019;8.016
22 Huesca;TOTAL;Hombres;40-44 años;2019;9.326
22 Huesca;TOTAL;Hombres;45-49 años;2019;8.956
22 Huesca;TOTAL;Hombres;50-54 años;2019;8.765
22 Huesca;TOTAL;Hombres;55-59 años;2019;8.378
22 Huesca;TOTAL;Hombres;60-64 años;2019;7.316
22 Huesca;TOTAL;Hombres;65-69 años;2019;5.994
22 Huesca;TOTAL;Hombres;70-74 años;2019;5.284
22 Huesca;TOTAL;Hombres;75-79 años;2019;3.625
22 Huesca;TOTAL;Hombres;80-84 años;2019;3.573
22 Huesca;TOTAL;Hombres;85-89 años;2019;2.576
22 Huesca;TOTAL;Hombres;90-94 años;2019;1.094
22 Huesca;TOTAL;Hombres;95-99 años;2019;246
22 Huesca;TOTAL;Hombres;100 años y más;2019;26
23 Jaén;TOTAL;Hombres;0-4 años;2019;13.211
23 Jaén;TOTAL;Hombres;5-9 años;2019;15.336
23 Jaén;TOTAL;Hombres;10-14 años;2019;17.248
23 Jaén;TOTAL;Hombres;15-19 años;2019;17.726
23 Jaén;TOTAL;Hombres;20-24 años;2019;18.784
23 Jaén;TOTAL;Hombres;25-29 años;2019;20.666
23 Jaén;TOTAL;Hombres;30-34 años;2019;19.714
23 Jaén;TOTAL;Hombres;35-39 años;2019;21.903
23 Jaén;TOTAL;Hombres;40-44 años;2019;23.406
23 Jaén;TOTAL;Hombres;45-49 años;2019;24.313
23 Jaén;TOTAL;Hombres;50-54 años;2019;25.760
23 Jaén;TOTAL;Hombres;55-59 años;2019;23.900
23 Jaén;TOTAL;Hombres;60-64 años;2019;19.318
23 Jaén;TOTAL;Hombres;65-69 años;2019;14.560
23 Jaén;TOTAL;Hombres;70-74 años;2019;12.039
23 Jaén;TOTAL;Hombres;75-79 años;2019;9.263
23 Jaén;TOTAL;Hombres;80-84 años;2019;8.409
23 Jaén;TOTAL;Hombres;85-89 años;2019;5.607
23 Jaén;TOTAL;Hombres;90-94 años;2019;1.840
23 Jaén;TOTAL;Hombres;95-99 años;2019;319
23 Jaén;TOTAL;Hombres;100 años y más;2019;34
24 León;TOTAL;Hombres;0-4 años;2019;7.325
24 León;TOTAL;Hombres;5-9 años;2019;8.528
24 León;TOTAL;Hombres;10-14 años;2019;9.196
24 León;TOTAL;Hombres;15-19 años;2019;9.199
24 León;TOTAL;Hombres;20-24 años;2019;9.474
24 León;TOTAL;Hombres;25-29 años;2019;10.568
24 León;TOTAL;Hombres;30-34 años;2019;12.236
24 León;TOTAL;Hombres;35-39 años;2019;14.944
24 León;TOTAL;Hombres;40-44 años;2019;16.750
24 León;TOTAL;Hombres;45-49 años;2019;17.513
24 León;TOTAL;Hombres;50-54 años;2019;18.401
24 León;TOTAL;Hombres;55-59 años;2019;18.759
24 León;TOTAL;Hombres;60-64 años;2019;17.196
24 León;TOTAL;Hombres;65-69 años;2019;13.936
24 León;TOTAL;Hombres;70-74 años;2019;12.029
24 León;TOTAL;Hombres;75-79 años;2019;9.377
24 León;TOTAL;Hombres;80-84 años;2019;8.478
24 León;TOTAL;Hombres;85-89 años;2019;6.488
24 León;TOTAL;Hombres;90-94 años;2019;2.673
24 León;TOTAL;Hombres;95-99 años;2019;598
24 León;TOTAL;Hombres;100 años y más;2019;76
25 Lleida;TOTAL;Hombres;0-4 años;2019;10.072
25 Lleida;TOTAL;Hombres;5-9 años;2019;11.821
25 Lleida;TOTAL;Hombres;10-14 años;2019;11.749
25 Lleida;TOTAL;Hombres;15-19 años;2019;11.268
25 Lleida;TOTAL;Hombres;20-24 años;2019;11.377
25 Lleida;TOTAL;Hombres;25-29 años;2019;12.172
25 Lleida;TOTAL;Hombres;30-34 años;2019;13.379
25 Lleida;TOTAL;Hombres;35-39 años;2019;16.865
25 Lleida;TOTAL;Hombres;40-44 años;2019;20.284
25 Lleida;TOTAL;Hombres;45-49 años;2019;18.595
25 Lleida;TOTAL;Hombres;50-54 años;2019;17.448
25 Lleida;TOTAL;Hombres;55-59 años;2019;15.681
25 Lleida;TOTAL;Hombres;60-64 años;2019;12.958
25 Lleida;TOTAL;Hombres;65-69 años;2019;10.622
25 Lleida;TOTAL;Hombres;70-74 años;2019;8.965
25 Lleida;TOTAL;Hombres;75-79 años;2019;6.210
25 Lleida;TOTAL;Hombres;80-84 años;2019;5.407
25 Lleida;TOTAL;Hombres;85-89 años;2019;4.037
25 Lleida;TOTAL;Hombres;90-94 años;2019;1.600
25 Lleida;TOTAL;Hombres;95-99 años;2019;331
25 Lleida;TOTAL;Hombres;100 años y más;2019;37
27 Lugo;TOTAL;Hombres;0-4 años;2019;5.366
27 Lugo;TOTAL;Hombres;5-9 años;2019;5.724
27 Lugo;TOTAL;Hombres;10-14 años;2019;5.843
27 Lugo;TOTAL;Hombres;15-19 años;2019;5.820
27 Lugo;TOTAL;Hombres;20-24 años;2019;6.182
27 Lugo;TOTAL;Hombres;25-29 años;2019;7.551
27 Lugo;TOTAL;Hombres;30-34 años;2019;8.868
27 Lugo;TOTAL;Hombres;35-39 años;2019;11.085
27 Lugo;TOTAL;Hombres;40-44 años;2019;12.400
27 Lugo;TOTAL;Hombres;45-49 años;2019;11.816
27 Lugo;TOTAL;Hombres;50-54 años;2019;12.470
27 Lugo;TOTAL;Hombres;55-59 años;2019;12.748
27 Lugo;TOTAL;Hombres;60-64 años;2019;11.790
27 Lugo;TOTAL;Hombres;65-69 años;2019;10.391
27 Lugo;TOTAL;Hombres;70-74 años;2019;9.259
27 Lugo;TOTAL;Hombres;75-79 años;2019;7.551
27 Lugo;TOTAL;Hombres;80-84 años;2019;7.068
27 Lugo;TOTAL;Hombres;85-89 años;2019;5.057
27 Lugo;TOTAL;Hombres;90-94 años;2019;2.135
27 Lugo;TOTAL;Hombres;95-99 años;2019;485
27 Lugo;TOTAL;Hombres;100 años y más;2019;77
28 Madrid;TOTAL;Hombres;0-4 años;2019;161.121
28 Madrid;TOTAL;Hombres;5-9 años;2019;179.505
28 Madrid;TOTAL;Hombres;10-14 años;2019;181.358
28 Madrid;TOTAL;Hombres;15-19 años;2019;167.675
28 Madrid;TOTAL;Hombres;20-24 años;2019;164.774
28 Madrid;TOTAL;Hombres;25-29 años;2019;187.718
28 Madrid;TOTAL;Hombres;30-34 años;2019;211.428
28 Madrid;TOTAL;Hombres;35-39 años;2019;254.811
28 Madrid;TOTAL;Hombres;40-44 años;2019;294.105
28 Madrid;TOTAL;Hombres;45-49 años;2019;272.381
28 Madrid;TOTAL;Hombres;50-54 años;2019;244.133
28 Madrid;TOTAL;Hombres;55-59 años;2019;207.931
28 Madrid;TOTAL;Hombres;60-64 años;2019;169.802
28 Madrid;TOTAL;Hombres;65-69 años;2019;142.932
28 Madrid;TOTAL;Hombres;70-74 años;2019;127.794
28 Madrid;TOTAL;Hombres;75-79 años;2019;90.630
28 Madrid;TOTAL;Hombres;80-84 años;2019;66.857
28 Madrid;TOTAL;Hombres;85-89 años;2019;43.072
28 Madrid;TOTAL;Hombres;90-94 años;2019;15.661
28 Madrid;TOTAL;Hombres;95-99 años;2019;3.224
28 Madrid;TOTAL;Hombres;100 años y más;2019;400
29 Málaga;TOTAL;Hombres;0-4 años;2019;38.655
29 Málaga;TOTAL;Hombres;5-9 años;2019;45.902
29 Málaga;TOTAL;Hombres;10-14 años;2019;49.359
29 Málaga;TOTAL;Hombres;15-19 años;2019;44.389
29 Málaga;TOTAL;Hombres;20-24 años;2019;41.693
29 Málaga;TOTAL;Hombres;25-29 años;2019;46.076
29 Málaga;TOTAL;Hombres;30-34 años;2019;51.460
29 Málaga;TOTAL;Hombres;35-39 años;2019;64.060
29 Málaga;TOTAL;Hombres;40-44 años;2019;71.625
29 Málaga;TOTAL;Hombres;45-49 años;2019;68.072
29 Málaga;TOTAL;Hombres;50-54 años;2019;63.845
29 Málaga;TOTAL;Hombres;55-59 años;2019;55.071
29 Málaga;TOTAL;Hombres;60-64 años;2019;46.106
29 Málaga;TOTAL;Hombres;65-69 años;2019;39.456
29 Málaga;TOTAL;Hombres;70-74 años;2019;36.109
29 Málaga;TOTAL;Hombres;75-79 años;2019;24.433
29 Málaga;TOTAL;Hombres;80-84 años;2019;15.935
29 Málaga;TOTAL;Hombres;85-89 años;2019;8.672
29 Málaga;TOTAL;Hombres;90-94 años;2019;2.672
29 Málaga;TOTAL;Hombres;95-99 años;2019;556
29 Málaga;TOTAL;Hombres;100 años y más;2019;203
30 Murcia;TOTAL;Hombres;0-4 años;2019;40.368
30 Murcia;TOTAL;Hombres;5-9 años;2019;44.977
30 Murcia;TOTAL;Hombres;10-14 años;2019;47.120
30 Murcia;TOTAL;Hombres;15-19 años;2019;43.540
30 Murcia;TOTAL;Hombres;20-24 años;2019;42.275
30 Murcia;TOTAL;Hombres;25-29 años;2019;45.059
30 Murcia;TOTAL;Hombres;30-34 años;2019;47.918
30 Murcia;TOTAL;Hombres;35-39 años;2019;61.255
30 Murcia;TOTAL;Hombres;40-44 años;2019;68.756
30 Murcia;TOTAL;Hombres;45-49 años;2019;62.121
30 Murcia;TOTAL;Hombres;50-54 años;2019;57.077
30 Murcia;TOTAL;Hombres;55-59 años;2019;47.242
30 Murcia;TOTAL;Hombres;60-64 años;2019;37.518
30 Murcia;TOTAL;Hombres;65-69 años;2019;30.623
30 Murcia;TOTAL;Hombres;70-74 años;2019;26.338
30 Murcia;TOTAL;Hombres;75-79 años;2019;18.395
30 Murcia;TOTAL;Hombres;80-84 años;2019;14.702
30 Murcia;TOTAL;Hombres;85-89 años;2019;8.741
30 Murcia;TOTAL;Hombres;90-94 años;2019;3.001
30 Murcia;TOTAL;Hombres;95-99 años;2019;549
30 Murcia;TOTAL;Hombres;100 años y más;2019;40
31 Navarra;TOTAL;Hombres;0-4 años;2019;15.519
31 Navarra;TOTAL;Hombres;5-9 años;2019;18.089
31 Navarra;TOTAL;Hombres;10-14 años;2019;18.277
31 Navarra;TOTAL;Hombres;15-19 años;2019;17.416
31 Navarra;TOTAL;Hombres;20-24 años;2019;16.856
31 Navarra;TOTAL;Hombres;25-29 años;2019;16.768
31 Navarra;TOTAL;Hombres;30-34 años;2019;18.405
31 Navarra;TOTAL;Hombres;35-39 años;2019;23.312
31 Navarra;TOTAL;Hombres;40-44 años;2019;28.191
31 Navarra;TOTAL;Hombres;45-49 años;2019;27.050
31 Navarra;TOTAL;Hombres;50-54 años;2019;25.211
31 Navarra;TOTAL;Hombres;55-59 años;2019;22.636
31 Navarra;TOTAL;Hombres;60-64 años;2019;19.286
31 Navarra;TOTAL;Hombres;65-69 años;2019;16.459
31 Navarra;TOTAL;Hombres;70-74 años;2019;14.495
31 Navarra;TOTAL;Hombres;75-79 años;2019;10.431
31 Navarra;TOTAL;Hombres;80-84 años;2019;7.721
31 Navarra;TOTAL;Hombres;85-89 años;2019;5.169
31 Navarra;TOTAL;Hombres;90-94 años;2019;1.889
31 Navarra;TOTAL;Hombres;95-99 años;2019;409
31 Navarra;TOTAL;Hombres;100 años y más;2019;42
32 Ourense;TOTAL;Hombres;0-4 años;2019;4.629
32 Ourense;TOTAL;Hombres;5-9 años;2019;5.352
32 Ourense;TOTAL;Hombres;10-14 años;2019;5.571
32 Ourense;TOTAL;Hombres;15-19 años;2019;5.465
32 Ourense;TOTAL;Hombres;20-24 años;2019;5.910
32 Ourense;TOTAL;Hombres;25-29 años;2019;6.904
32 Ourense;TOTAL;Hombres;30-34 años;2019;7.732
32 Ourense;TOTAL;Hombres;35-39 años;2019;9.697
32 Ourense;TOTAL;Hombres;40-44 años;2019;11.061
32 Ourense;TOTAL;Hombres;45-49 años;2019;10.889
32 Ourense;TOTAL;Hombres;50-54 años;2019;11.144
32 Ourense;TOTAL;Hombres;55-59 años;2019;11.070
32 Ourense;TOTAL;Hombres;60-64 años;2019;10.450
32 Ourense;TOTAL;Hombres;65-69 años;2019;9.841
32 Ourense;TOTAL;Hombres;70-74 años;2019;9.859
32 Ourense;TOTAL;Hombres;75-79 años;2019;7.816
32 Ourense;TOTAL;Hombres;80-84 años;2019;6.835
32 Ourense;TOTAL;Hombres;85-89 años;2019;4.910
32 Ourense;TOTAL;Hombres;90-94 años;2019;1.850
32 Ourense;TOTAL;Hombres;95-99 años;2019;462
32 Ourense;TOTAL;Hombres;100 años y más;2019;75
34 Palencia;TOTAL;Hombres;0-4 años;2019;2.865
34 Palencia;TOTAL;Hombres;5-9 años;2019;3.148
34 Palencia;TOTAL;Hombres;10-14 años;2019;3.285
34 Palencia;TOTAL;Hombres;15-19 años;2019;3.312
34 Palencia;TOTAL;Hombres;20-24 años;2019;3.538
34 Palencia;TOTAL;Hombres;25-29 años;2019;3.894
34 Palencia;TOTAL;Hombres;30-34 años;2019;4.453
34 Palencia;TOTAL;Hombres;35-39 años;2019;5.317
34 Palencia;TOTAL;Hombres;40-44 años;2019;5.851
34 Palencia;TOTAL;Hombres;45-49 años;2019;6.053
34 Palencia;TOTAL;Hombres;50-54 años;2019;6.651
34 Palencia;TOTAL;Hombres;55-59 años;2019;6.822
34 Palencia;TOTAL;Hombres;60-64 años;2019;6.529
34 Palencia;TOTAL;Hombres;65-69 años;2019;5.311
34 Palencia;TOTAL;Hombres;70-74 años;2019;4.333
34 Palencia;TOTAL;Hombres;75-79 años;2019;3.173
34 Palencia;TOTAL;Hombres;80-84 años;2019;2.451
34 Palencia;TOTAL;Hombres;85-89 años;2019;1.850
34 Palencia;TOTAL;Hombres;90-94 años;2019;770
34 Palencia;TOTAL;Hombres;95-99 años;2019;189
34 Palencia;TOTAL;Hombres;100 años y más;2019;13
36 Pontevedra;TOTAL;Hombres;0-4 años;2019;18.048
36 Pontevedra;TOTAL;Hombres;5-9 años;2019;21.480
36 Pontevedra;TOTAL;Hombres;10-14 años;2019;22.854
36 Pontevedra;TOTAL;Hombres;15-19 años;2019;21.733
36 Pontevedra;TOTAL;Hombres;20-24 años;2019;20.574
36 Pontevedra;TOTAL;Hombres;25-29 años;2019;23.252
36 Pontevedra;TOTAL;Hombres;30-34 años;2019;26.140
36 Pontevedra;TOTAL;Hombres;35-39 años;2019;34.809
36 Pontevedra;TOTAL;Hombres;40-44 años;2019;42.035
36 Pontevedra;TOTAL;Hombres;45-49 años;2019;38.847
36 Pontevedra;TOTAL;Hombres;50-54 años;2019;35.697
36 Pontevedra;TOTAL;Hombres;55-59 años;2019;31.825
36 Pontevedra;TOTAL;Hombres;60-64 años;2019;28.382
36 Pontevedra;TOTAL;Hombres;65-69 años;2019;25.818
36 Pontevedra;TOTAL;Hombres;70-74 años;2019;23.741
36 Pontevedra;TOTAL;Hombres;75-79 años;2019;16.195
36 Pontevedra;TOTAL;Hombres;80-84 años;2019;12.550
36 Pontevedra;TOTAL;Hombres;85-89 años;2019;7.870
36 Pontevedra;TOTAL;Hombres;90-94 años;2019;2.678
36 Pontevedra;TOTAL;Hombres;95-99 años;2019;611
36 Pontevedra;TOTAL;Hombres;100 años y más;2019;147
26 Rioja, La;TOTAL;Hombres;0-4 años;2019;7.050
26 Rioja, La;TOTAL;Hombres;5-9 años;2019;8.186
26 Rioja, La;TOTAL;Hombres;10-14 años;2019;8.441
26 Rioja, La;TOTAL;Hombres;15-19 años;2019;7.765
26 Rioja, La;TOTAL;Hombres;20-24 años;2019;7.362
26 Rioja, La;TOTAL;Hombres;25-29 años;2019;7.709
26 Rioja, La;TOTAL;Hombres;30-34 años;2019;8.755
26 Rioja, La;TOTAL;Hombres;35-39 años;2019;11.371
26 Rioja, La;TOTAL;Hombres;40-44 años;2019;13.768
26 Rioja, La;TOTAL;Hombres;45-49 años;2019;13.044
26 Rioja, La;TOTAL;Hombres;50-54 años;2019;11.995
26 Rioja, La;TOTAL;Hombres;55-59 años;2019;11.507
26 Rioja, La;TOTAL;Hombres;60-64 años;2019;9.839
26 Rioja, La;TOTAL;Hombres;65-69 años;2019;8.308
26 Rioja, La;TOTAL;Hombres;70-74 años;2019;7.219
26 Rioja, La;TOTAL;Hombres;75-79 años;2019;5.406
26 Rioja, La;TOTAL;Hombres;80-84 años;2019;4.097
26 Rioja, La;TOTAL;Hombres;85-89 años;2019;2.950
26 Rioja, La;TOTAL;Hombres;90-94 años;2019;1.134
26 Rioja, La;TOTAL;Hombres;95-99 años;2019;256
26 Rioja, La;TOTAL;Hombres;100 años y más;2019;17
37 Salamanca;TOTAL;Hombres;0-4 años;2019;5.519
37 Salamanca;TOTAL;Hombres;5-9 años;2019;6.512
37 Salamanca;TOTAL;Hombres;10-14 años;2019;7.365
37 Salamanca;TOTAL;Hombres;15-19 años;2019;7.156
37 Salamanca;TOTAL;Hombres;20-24 años;2019;7.308
37 Salamanca;TOTAL;Hombres;25-29 años;2019;7.921
37 Salamanca;TOTAL;Hombres;30-34 años;2019;8.717
37 Salamanca;TOTAL;Hombres;35-39 años;2019;10.225
37 Salamanca;TOTAL;Hombres;40-44 años;2019;11.656
37 Salamanca;TOTAL;Hombres;45-49 años;2019;12.335
37 Salamanca;TOTAL;Hombres;50-54 años;2019;13.040
37 Salamanca;TOTAL;Hombres;55-59 años;2019;12.969
37 Salamanca;TOTAL;Hombres;60-64 años;2019;11.303
37 Salamanca;TOTAL;Hombres;65-69 años;2019;9.463
37 Salamanca;TOTAL;Hombres;70-74 años;2019;8.612
37 Salamanca;TOTAL;Hombres;75-79 años;2019;7.061
37 Salamanca;TOTAL;Hombres;80-84 años;2019;6.144
37 Salamanca;TOTAL;Hombres;85-89 años;2019;4.536
37 Salamanca;TOTAL;Hombres;90-94 años;2019;1.980
37 Salamanca;TOTAL;Hombres;95-99 años;2019;477
37 Salamanca;TOTAL;Hombres;100 años y más;2019;65
40 Segovia;TOTAL;Hombres;0-4 años;2019;2.980
40 Segovia;TOTAL;Hombres;5-9 años;2019;3.523
40 Segovia;TOTAL;Hombres;10-14 años;2019;3.771
40 Segovia;TOTAL;Hombres;15-19 años;2019;3.632
40 Segovia;TOTAL;Hombres;20-24 años;2019;3.937
40 Segovia;TOTAL;Hombres;25-29 años;2019;4.064
40 Segovia;TOTAL;Hombres;30-34 años;2019;4.237
40 Segovia;TOTAL;Hombres;35-39 años;2019;5.151
40 Segovia;TOTAL;Hombres;40-44 años;2019;5.817
40 Segovia;TOTAL;Hombres;45-49 años;2019;6.203
40 Segovia;TOTAL;Hombres;50-54 años;2019;6.446
40 Segovia;TOTAL;Hombres;55-59 años;2019;6.289
40 Segovia;TOTAL;Hombres;60-64 años;2019;5.201
40 Segovia;TOTAL;Hombres;65-69 años;2019;4.136
40 Segovia;TOTAL;Hombres;70-74 años;2019;3.494
40 Segovia;TOTAL;Hombres;75-79 años;2019;2.623
40 Segovia;TOTAL;Hombres;80-84 años;2019;2.454
40 Segovia;TOTAL;Hombres;85-89 años;2019;1.851
40 Segovia;TOTAL;Hombres;90-94 años;2019;793
40 Segovia;TOTAL;Hombres;95-99 años;2019;195
40 Segovia;TOTAL;Hombres;100 años y más;2019;16
41 Sevilla;TOTAL;Hombres;0-4 años;2019;47.739
41 Sevilla;TOTAL;Hombres;5-9 años;2019;56.566
41 Sevilla;TOTAL;Hombres;10-14 años;2019;60.890
41 Sevilla;TOTAL;Hombres;15-19 años;2019;54.017
41 Sevilla;TOTAL;Hombres;20-24 años;2019;51.273
41 Sevilla;TOTAL;Hombres;25-29 años;2019;56.034
41 Sevilla;TOTAL;Hombres;30-34 años;2019;59.310
41 Sevilla;TOTAL;Hombres;35-39 años;2019;73.922
41 Sevilla;TOTAL;Hombres;40-44 años;2019;84.745
41 Sevilla;TOTAL;Hombres;45-49 años;2019;79.412
41 Sevilla;TOTAL;Hombres;50-54 años;2019;74.710
41 Sevilla;TOTAL;Hombres;55-59 años;2019;63.182
41 Sevilla;TOTAL;Hombres;60-64 años;2019;51.364
41 Sevilla;TOTAL;Hombres;65-69 años;2019;42.435
41 Sevilla;TOTAL;Hombres;70-74 años;2019;37.045
41 Sevilla;TOTAL;Hombres;75-79 años;2019;26.192
41 Sevilla;TOTAL;Hombres;80-84 años;2019;16.952
41 Sevilla;TOTAL;Hombres;85-89 años;2019;9.836
41 Sevilla;TOTAL;Hombres;90-94 años;2019;2.921
41 Sevilla;TOTAL;Hombres;95-99 años;2019;546
41 Sevilla;TOTAL;Hombres;100 años y más;2019;121
42 Soria;TOTAL;Hombres;0-4 años;2019;1.611
42 Soria;TOTAL;Hombres;5-9 años;2019;1.865
42 Soria;TOTAL;Hombres;10-14 años;2019;2.005
42 Soria;TOTAL;Hombres;15-19 años;2019;2.096
42 Soria;TOTAL;Hombres;20-24 años;2019;2.118
42 Soria;TOTAL;Hombres;25-29 años;2019;2.174
42 Soria;TOTAL;Hombres;30-34 años;2019;2.406
42 Soria;TOTAL;Hombres;35-39 años;2019;2.843
42 Soria;TOTAL;Hombres;40-44 años;2019;3.255
42 Soria;TOTAL;Hombres;45-49 años;2019;3.454
42 Soria;TOTAL;Hombres;50-54 años;2019;3.756
42 Soria;TOTAL;Hombres;55-59 años;2019;3.730
42 Soria;TOTAL;Hombres;60-64 años;2019;3.084
42 Soria;TOTAL;Hombres;65-69 años;2019;2.555
42 Soria;TOTAL;Hombres;70-74 años;2019;2.274
42 Soria;TOTAL;Hombres;75-79 años;2019;1.818
42 Soria;TOTAL;Hombres;80-84 años;2019;1.596
42 Soria;TOTAL;Hombres;85-89 años;2019;1.379
42 Soria;TOTAL;Hombres;90-94 años;2019;614
42 Soria;TOTAL;Hombres;95-99 años;2019;155
42 Soria;TOTAL;Hombres;100 años y más;2019;26
43 Tarragona;TOTAL;Hombres;0-4 años;2019;19.175
43 Tarragona;TOTAL;Hombres;5-9 años;2019;22.646
43 Tarragona;TOTAL;Hombres;10-14 años;2019;23.784
43 Tarragona;TOTAL;Hombres;15-19 años;2019;21.362
43 Tarragona;TOTAL;Hombres;20-24 años;2019;20.191
43 Tarragona;TOTAL;Hombres;25-29 años;2019;20.955
43 Tarragona;TOTAL;Hombres;30-34 años;2019;23.635
43 Tarragona;TOTAL;Hombres;35-39 años;2019;30.743
43 Tarragona;TOTAL;Hombres;40-44 años;2019;36.603
43 Tarragona;TOTAL;Hombres;45-49 años;2019;33.603
43 Tarragona;TOTAL;Hombres;50-54 años;2019;30.536
43 Tarragona;TOTAL;Hombres;55-59 años;2019;26.534
43 Tarragona;TOTAL;Hombres;60-64 años;2019;23.203
43 Tarragona;TOTAL;Hombres;65-69 años;2019;20.406
43 Tarragona;TOTAL;Hombres;70-74 años;2019;17.814
43 Tarragona;TOTAL;Hombres;75-79 años;2019;12.280
43 Tarragona;TOTAL;Hombres;80-84 años;2019;9.177
43 Tarragona;TOTAL;Hombres;85-89 años;2019;5.831
43 Tarragona;TOTAL;Hombres;90-94 años;2019;2.232
43 Tarragona;TOTAL;Hombres;95-99 años;2019;504
43 Tarragona;TOTAL;Hombres;100 años y más;2019;44
44 Teruel;TOTAL;Hombres;0-4 años;2019;2.655
44 Teruel;TOTAL;Hombres;5-9 años;2019;3.057
44 Teruel;TOTAL;Hombres;10-14 años;2019;3.151
44 Teruel;TOTAL;Hombres;15-19 años;2019;3.085
44 Teruel;TOTAL;Hombres;20-24 años;2019;3.305
44 Teruel;TOTAL;Hombres;25-29 años;2019;3.483
44 Teruel;TOTAL;Hombres;30-34 años;2019;3.921
44 Teruel;TOTAL;Hombres;35-39 años;2019;4.688
44 Teruel;TOTAL;Hombres;40-44 años;2019;5.138
44 Teruel;TOTAL;Hombres;45-49 años;2019;5.058
44 Teruel;TOTAL;Hombres;50-54 años;2019;5.472
44 Teruel;TOTAL;Hombres;55-59 años;2019;5.448
44 Teruel;TOTAL;Hombres;60-64 años;2019;4.626
44 Teruel;TOTAL;Hombres;65-69 años;2019;3.772
44 Teruel;TOTAL;Hombres;70-74 años;2019;3.179
44 Teruel;TOTAL;Hombres;75-79 años;2019;2.375
44 Teruel;TOTAL;Hombres;80-84 años;2019;2.375
44 Teruel;TOTAL;Hombres;85-89 años;2019;2.085
44 Teruel;TOTAL;Hombres;90-94 años;2019;843
44 Teruel;TOTAL;Hombres;95-99 años;2019;193
44 Teruel;TOTAL;Hombres;100 años y más;2019;18
45 Toledo;TOTAL;Hombres;0-4 años;2019;16.737
