Causas (lista reducida);Sexo;Edad;Total
002 Tuberculosis y sus efectos tardíos;Hombres;De 65 a 69 años;5
002 Tuberculosis y sus efectos tardíos;Hombres;De 70 a 74 años;8
002 Tuberculosis y sus efectos tardíos;Hombres;De 75 a 79 años;11
002 Tuberculosis y sus efectos tardíos;Hombres;De 80 a 84 años;24
002 Tuberculosis y sus efectos tardíos;Hombres;De 85 a 89 años;23
002 Tuberculosis y sus efectos tardíos;Hombres;De 90 a 94 años;16
002 Tuberculosis y sus efectos tardíos;Hombres;De 95 años y más;5
003 Enfermedad meningocócica;Hombres;Menores de 1 año;0
003 Enfermedad meningocócica;Hombres;De 1 a 4 años;2
003 Enfermedad meningocócica;Hombres;De 5 a 9 años;0
003 Enfermedad meningocócica;Hombres;De 10 a 14 años;0
003 Enfermedad meningocócica;Hombres;De 15 a 19 años;1
003 Enfermedad meningocócica;Hombres;De 20 a 24 años;0
003 Enfermedad meningocócica;Hombres;De 25 a 29 años;1
003 Enfermedad meningocócica;Hombres;De 30 a 34 años;0
003 Enfermedad meningocócica;Hombres;De 35 a 39 años;0
003 Enfermedad meningocócica;Hombres;De 40 a 44 años;0
003 Enfermedad meningocócica;Hombres;De 45 a 49 años;0
003 Enfermedad meningocócica;Hombres;De 50 a 54 años;1
003 Enfermedad meningocócica;Hombres;De 55 a 59 años;1
003 Enfermedad meningocócica;Hombres;De 60 a 64 años;0
003 Enfermedad meningocócica;Hombres;De 65 a 69 años;1
003 Enfermedad meningocócica;Hombres;De 70 a 74 años;0
003 Enfermedad meningocócica;Hombres;De 75 a 79 años;0
003 Enfermedad meningocócica;Hombres;De 80 a 84 años;0
003 Enfermedad meningocócica;Hombres;De 85 a 89 años;1
003 Enfermedad meningocócica;Hombres;De 90 a 94 años;0
003 Enfermedad meningocócica;Hombres;De 95 años y más;0
004 Septicemia;Hombres;Menores de 1 año;1
004 Septicemia;Hombres;De 1 a 4 años;4
004 Septicemia;Hombres;De 5 a 9 años;0
004 Septicemia;Hombres;De 10 a 14 años;2
004 Septicemia;Hombres;De 15 a 19 años;0
004 Septicemia;Hombres;De 20 a 24 años;2
004 Septicemia;Hombres;De 25 a 29 años;1
004 Septicemia;Hombres;De 30 a 34 años;2
004 Septicemia;Hombres;De 35 a 39 años;4
004 Septicemia;Hombres;De 40 a 44 años;11
004 Septicemia;Hombres;De 45 a 49 años;12
004 Septicemia;Hombres;De 50 a 54 años;22
004 Septicemia;Hombres;De 55 a 59 años;33
004 Septicemia;Hombres;De 60 a 64 años;52
004 Septicemia;Hombres;De 65 a 69 años;96
004 Septicemia;Hombres;De 70 a 74 años;135
004 Septicemia;Hombres;De 75 a 79 años;164
004 Septicemia;Hombres;De 80 a 84 años;256
004 Septicemia;Hombres;De 85 a 89 años;313
004 Septicemia;Hombres;De 90 a 94 años;191
004 Septicemia;Hombres;De 95 años y más;55
005 Hepatitis vírica;Hombres;Menores de 1 año;0
005 Hepatitis vírica;Hombres;De 1 a 4 años;0
005 Hepatitis vírica;Hombres;De 5 a 9 años;0
005 Hepatitis vírica;Hombres;De 10 a 14 años;0
005 Hepatitis vírica;Hombres;De 15 a 19 años;0
005 Hepatitis vírica;Hombres;De 20 a 24 años;0
005 Hepatitis vírica;Hombres;De 25 a 29 años;1
005 Hepatitis vírica;Hombres;De 30 a 34 años;1
005 Hepatitis vírica;Hombres;De 35 a 39 años;2
005 Hepatitis vírica;Hombres;De 40 a 44 años;4
005 Hepatitis vírica;Hombres;De 45 a 49 años;10
005 Hepatitis vírica;Hombres;De 50 a 54 años;47
005 Hepatitis vírica;Hombres;De 55 a 59 años;41
005 Hepatitis vírica;Hombres;De 60 a 64 años;31
005 Hepatitis vírica;Hombres;De 65 a 69 años;15
005 Hepatitis vírica;Hombres;De 70 a 74 años;15
005 Hepatitis vírica;Hombres;De 75 a 79 años;17
005 Hepatitis vírica;Hombres;De 80 a 84 años;30
005 Hepatitis vírica;Hombres;De 85 a 89 años;33
005 Hepatitis vírica;Hombres;De 90 a 94 años;11
005 Hepatitis vírica;Hombres;De 95 años y más;4
006 SIDA;Hombres;Menores de 1 año;0
006 SIDA;Hombres;De 1 a 4 años;0
006 SIDA;Hombres;De 5 a 9 años;0
006 SIDA;Hombres;De 10 a 14 años;0
006 SIDA;Hombres;De 15 a 19 años;0
006 SIDA;Hombres;De 20 a 24 años;2
006 SIDA;Hombres;De 25 a 29 años;7
006 SIDA;Hombres;De 30 a 34 años;7
006 SIDA;Hombres;De 35 a 39 años;10
006 SIDA;Hombres;De 40 a 44 años;29
006 SIDA;Hombres;De 45 a 49 años;46
006 SIDA;Hombres;De 50 a 54 años;82
006 SIDA;Hombres;De 55 a 59 años;70
006 SIDA;Hombres;De 60 a 64 años;34
006 SIDA;Hombres;De 65 a 69 años;13
006 SIDA;Hombres;De 70 a 74 años;10
006 SIDA;Hombres;De 75 a 79 años;9
006 SIDA;Hombres;De 80 a 84 años;5
006 SIDA;Hombres;De 85 a 89 años;5
006 SIDA;Hombres;De 90 a 94 años;4
006 SIDA;Hombres;De 95 años y más;1
007 VIH+ (portador, evidencias de laboratorio del VIH,...);Hombres;Menores de 1 año;0
007 VIH+ (portador, evidencias de laboratorio del VIH,...);Hombres;De 1 a 4 años;0
007 VIH+ (portador, evidencias de laboratorio del VIH,...);Hombres;De 5 a 9 años;0
007 VIH+ (portador, evidencias de laboratorio del VIH,...);Hombres;De 10 a 14 años;0
007 VIH+ (portador, evidencias de laboratorio del VIH,...);Hombres;De 15 a 19 años;0
007 VIH+ (portador, evidencias de laboratorio del VIH,...);Hombres;De 20 a 24 años;0
007 VIH+ (portador, evidencias de laboratorio del VIH,...);Hombres;De 25 a 29 años;0
007 VIH+ (portador, evidencias de laboratorio del VIH,...);Hombres;De 30 a 34 años;0
007 VIH+ (portador, evidencias de laboratorio del VIH,...);Hombres;De 35 a 39 años;0
007 VIH+ (portador, evidencias de laboratorio del VIH,...);Hombres;De 40 a 44 años;0
007 VIH+ (portador, evidencias de laboratorio del VIH,...);Hombres;De 45 a 49 años;0
007 VIH+ (portador, evidencias de laboratorio del VIH,...);Hombres;De 50 a 54 años;0
007 VIH+ (portador, evidencias de laboratorio del VIH,...);Hombres;De 55 a 59 años;0
007 VIH+ (portador, evidencias de laboratorio del VIH,...);Hombres;De 60 a 64 años;0
007 VIH+ (portador, evidencias de laboratorio del VIH,...);Hombres;De 65 a 69 años;0
007 VIH+ (portador, evidencias de laboratorio del VIH,...);Hombres;De 70 a 74 años;0
007 VIH+ (portador, evidencias de laboratorio del VIH,...);Hombres;De 75 a 79 años;0
007 VIH+ (portador, evidencias de laboratorio del VIH,...);Hombres;De 80 a 84 años;0
007 VIH+ (portador, evidencias de laboratorio del VIH,...);Hombres;De 85 a 89 años;0
007 VIH+ (portador, evidencias de laboratorio del VIH,...);Hombres;De 90 a 94 años;0
007 VIH+ (portador, evidencias de laboratorio del VIH,...);Hombres;De 95 años y más;0
008 Resto de enfermedades infecciosas y parasitarias y sus efectos tardíos;Hombres;Menores de 1 año;3
008 Resto de enfermedades infecciosas y parasitarias y sus efectos tardíos;Hombres;De 1 a 4 años;1
008 Resto de enfermedades infecciosas y parasitarias y sus efectos tardíos;Hombres;De 5 a 9 años;2
008 Resto de enfermedades infecciosas y parasitarias y sus efectos tardíos;Hombres;De 10 a 14 años;0
008 Resto de enfermedades infecciosas y parasitarias y sus efectos tardíos;Hombres;De 15 a 19 años;1
008 Resto de enfermedades infecciosas y parasitarias y sus efectos tardíos;Hombres;De 20 a 24 años;0
008 Resto de enfermedades infecciosas y parasitarias y sus efectos tardíos;Hombres;De 25 a 29 años;1
008 Resto de enfermedades infecciosas y parasitarias y sus efectos tardíos;Hombres;De 30 a 34 años;2
008 Resto de enfermedades infecciosas y parasitarias y sus efectos tardíos;Hombres;De 35 a 39 años;3
008 Resto de enfermedades infecciosas y parasitarias y sus efectos tardíos;Hombres;De 40 a 44 años;5
008 Resto de enfermedades infecciosas y parasitarias y sus efectos tardíos;Hombres;De 45 a 49 años;13
008 Resto de enfermedades infecciosas y parasitarias y sus efectos tardíos;Hombres;De 50 a 54 años;18
008 Resto de enfermedades infecciosas y parasitarias y sus efectos tardíos;Hombres;De 55 a 59 años;25
008 Resto de enfermedades infecciosas y parasitarias y sus efectos tardíos;Hombres;De 60 a 64 años;37
008 Resto de enfermedades infecciosas y parasitarias y sus efectos tardíos;Hombres;De 65 a 69 años;46
008 Resto de enfermedades infecciosas y parasitarias y sus efectos tardíos;Hombres;De 70 a 74 años;70
008 Resto de enfermedades infecciosas y parasitarias y sus efectos tardíos;Hombres;De 75 a 79 años;72
008 Resto de enfermedades infecciosas y parasitarias y sus efectos tardíos;Hombres;De 80 a 84 años;89
008 Resto de enfermedades infecciosas y parasitarias y sus efectos tardíos;Hombres;De 85 a 89 años;115
008 Resto de enfermedades infecciosas y parasitarias y sus efectos tardíos;Hombres;De 90 a 94 años;58
008 Resto de enfermedades infecciosas y parasitarias y sus efectos tardíos;Hombres;De 95 años y más;14
009 Tumor maligno del labio, de la cavidad bucal y de la faringe;Hombres;Menores de 1 año;0
009 Tumor maligno del labio, de la cavidad bucal y de la faringe;Hombres;De 1 a 4 años;0
009 Tumor maligno del labio, de la cavidad bucal y de la faringe;Hombres;De 5 a 9 años;1
009 Tumor maligno del labio, de la cavidad bucal y de la faringe;Hombres;De 10 a 14 años;0
009 Tumor maligno del labio, de la cavidad bucal y de la faringe;Hombres;De 15 a 19 años;1
009 Tumor maligno del labio, de la cavidad bucal y de la faringe;Hombres;De 20 a 24 años;1
009 Tumor maligno del labio, de la cavidad bucal y de la faringe;Hombres;De 25 a 29 años;2
009 Tumor maligno del labio, de la cavidad bucal y de la faringe;Hombres;De 30 a 34 años;5
009 Tumor maligno del labio, de la cavidad bucal y de la faringe;Hombres;De 35 a 39 años;6
009 Tumor maligno del labio, de la cavidad bucal y de la faringe;Hombres;De 40 a 44 años;19
009 Tumor maligno del labio, de la cavidad bucal y de la faringe;Hombres;De 45 a 49 años;54
009 Tumor maligno del labio, de la cavidad bucal y de la faringe;Hombres;De 50 a 54 años;110
009 Tumor maligno del labio, de la cavidad bucal y de la faringe;Hombres;De 55 a 59 años;198
009 Tumor maligno del labio, de la cavidad bucal y de la faringe;Hombres;De 60 a 64 años;272
009 Tumor maligno del labio, de la cavidad bucal y de la faringe;Hombres;De 65 a 69 años;242
009 Tumor maligno del labio, de la cavidad bucal y de la faringe;Hombres;De 70 a 74 años;242
009 Tumor maligno del labio, de la cavidad bucal y de la faringe;Hombres;De 75 a 79 años;194
009 Tumor maligno del labio, de la cavidad bucal y de la faringe;Hombres;De 80 a 84 años;154
009 Tumor maligno del labio, de la cavidad bucal y de la faringe;Hombres;De 85 a 89 años;106
009 Tumor maligno del labio, de la cavidad bucal y de la faringe;Hombres;De 90 a 94 años;50
009 Tumor maligno del labio, de la cavidad bucal y de la faringe;Hombres;De 95 años y más;9
010 Tumor maligno del esófago;Hombres;Menores de 1 año;0
010 Tumor maligno del esófago;Hombres;De 1 a 4 años;0
010 Tumor maligno del esófago;Hombres;De 5 a 9 años;0
010 Tumor maligno del esófago;Hombres;De 10 a 14 años;0
010 Tumor maligno del esófago;Hombres;De 15 a 19 años;0
010 Tumor maligno del esófago;Hombres;De 20 a 24 años;0
010 Tumor maligno del esófago;Hombres;De 25 a 29 años;2
010 Tumor maligno del esófago;Hombres;De 30 a 34 años;2
010 Tumor maligno del esófago;Hombres;De 35 a 39 años;6
010 Tumor maligno del esófago;Hombres;De 40 a 44 años;16
010 Tumor maligno del esófago;Hombres;De 45 a 49 años;42
010 Tumor maligno del esófago;Hombres;De 50 a 54 años;111
010 Tumor maligno del esófago;Hombres;De 55 a 59 años;161
010 Tumor maligno del esófago;Hombres;De 60 a 64 años;213
010 Tumor maligno del esófago;Hombres;De 65 a 69 años;205
010 Tumor maligno del esófago;Hombres;De 70 a 74 años;243
010 Tumor maligno del esófago;Hombres;De 75 a 79 años;202
010 Tumor maligno del esófago;Hombres;De 80 a 84 años;164
010 Tumor maligno del esófago;Hombres;De 85 a 89 años;100
010 Tumor maligno del esófago;Hombres;De 90 a 94 años;43
010 Tumor maligno del esófago;Hombres;De 95 años y más;5
011 Tumor maligno del estómago;Hombres;Menores de 1 año;0
011 Tumor maligno del estómago;Hombres;De 1 a 4 años;0
011 Tumor maligno del estómago;Hombres;De 5 a 9 años;0
011 Tumor maligno del estómago;Hombres;De 10 a 14 años;0
011 Tumor maligno del estómago;Hombres;De 15 a 19 años;0
011 Tumor maligno del estómago;Hombres;De 20 a 24 años;1
011 Tumor maligno del estómago;Hombres;De 25 a 29 años;4
011 Tumor maligno del estómago;Hombres;De 30 a 34 años;2
011 Tumor maligno del estómago;Hombres;De 35 a 39 años;17
011 Tumor maligno del estómago;Hombres;De 40 a 44 años;29
011 Tumor maligno del estómago;Hombres;De 45 a 49 años;64
011 Tumor maligno del estómago;Hombres;De 50 a 54 años;140
011 Tumor maligno del estómago;Hombres;De 55 a 59 años;210
011 Tumor maligno del estómago;Hombres;De 60 a 64 años;263
011 Tumor maligno del estómago;Hombres;De 65 a 69 años;365
011 Tumor maligno del estómago;Hombres;De 70 a 74 años;418
011 Tumor maligno del estómago;Hombres;De 75 a 79 años;407
011 Tumor maligno del estómago;Hombres;De 80 a 84 años;493
011 Tumor maligno del estómago;Hombres;De 85 a 89 años;413
011 Tumor maligno del estómago;Hombres;De 90 a 94 años;161
011 Tumor maligno del estómago;Hombres;De 95 años y más;21
012 Tumor maligno del colon;Hombres;Menores de 1 año;0
012 Tumor maligno del colon;Hombres;De 1 a 4 años;0
012 Tumor maligno del colon;Hombres;De 5 a 9 años;0
012 Tumor maligno del colon;Hombres;De 10 a 14 años;0
012 Tumor maligno del colon;Hombres;De 15 a 19 años;0
012 Tumor maligno del colon;Hombres;De 20 a 24 años;2
012 Tumor maligno del colon;Hombres;De 25 a 29 años;2
012 Tumor maligno del colon;Hombres;De 30 a 34 años;7
012 Tumor maligno del colon;Hombres;De 35 a 39 años;7
012 Tumor maligno del colon;Hombres;De 40 a 44 años;30
012 Tumor maligno del colon;Hombres;De 45 a 49 años;96
012 Tumor maligno del colon;Hombres;De 50 a 54 años;170
012 Tumor maligno del colon;Hombres;De 55 a 59 años;294
012 Tumor maligno del colon;Hombres;De 60 a 64 años;532
012 Tumor maligno del colon;Hombres;De 65 a 69 años;708
012 Tumor maligno del colon;Hombres;De 70 a 74 años;903
012 Tumor maligno del colon;Hombres;De 75 a 79 años;1.051
012 Tumor maligno del colon;Hombres;De 80 a 84 años;1.219
012 Tumor maligno del colon;Hombres;De 85 a 89 años;1.066
012 Tumor maligno del colon;Hombres;De 90 a 94 años;541
012 Tumor maligno del colon;Hombres;De 95 años y más;130
013 Tumor maligno del recto, de la porción rectosigmoide y del ano;Hombres;Menores de 1 año;0
013 Tumor maligno del recto, de la porción rectosigmoide y del ano;Hombres;De 1 a 4 años;0
013 Tumor maligno del recto, de la porción rectosigmoide y del ano;Hombres;De 5 a 9 años;0
013 Tumor maligno del recto, de la porción rectosigmoide y del ano;Hombres;De 10 a 14 años;0
013 Tumor maligno del recto, de la porción rectosigmoide y del ano;Hombres;De 15 a 19 años;0
013 Tumor maligno del recto, de la porción rectosigmoide y del ano;Hombres;De 20 a 24 años;0
013 Tumor maligno del recto, de la porción rectosigmoide y del ano;Hombres;De 25 a 29 años;0
013 Tumor maligno del recto, de la porción rectosigmoide y del ano;Hombres;De 30 a 34 años;1
013 Tumor maligno del recto, de la porción rectosigmoide y del ano;Hombres;De 35 a 39 años;10
013 Tumor maligno del recto, de la porción rectosigmoide y del ano;Hombres;De 40 a 44 años;20
013 Tumor maligno del recto, de la porción rectosigmoide y del ano;Hombres;De 45 a 49 años;51
013 Tumor maligno del recto, de la porción rectosigmoide y del ano;Hombres;De 50 a 54 años;80
013 Tumor maligno del recto, de la porción rectosigmoide y del ano;Hombres;De 55 a 59 años;154
013 Tumor maligno del recto, de la porción rectosigmoide y del ano;Hombres;De 60 a 64 años;247
013 Tumor maligno del recto, de la porción rectosigmoide y del ano;Hombres;De 65 a 69 años;264
013 Tumor maligno del recto, de la porción rectosigmoide y del ano;Hombres;De 70 a 74 años;358
013 Tumor maligno del recto, de la porción rectosigmoide y del ano;Hombres;De 75 a 79 años;360
013 Tumor maligno del recto, de la porción rectosigmoide y del ano;Hombres;De 80 a 84 años;360
013 Tumor maligno del recto, de la porción rectosigmoide y del ano;Hombres;De 85 a 89 años;367
013 Tumor maligno del recto, de la porción rectosigmoide y del ano;Hombres;De 90 a 94 años;163
013 Tumor maligno del recto, de la porción rectosigmoide y del ano;Hombres;De 95 años y más;30
014 Tumor maligno del hígado y vías biliares intrahepáticas;Hombres;Menores de 1 año;0
014 Tumor maligno del hígado y vías biliares intrahepáticas;Hombres;De 1 a 4 años;2
014 Tumor maligno del hígado y vías biliares intrahepáticas;Hombres;De 5 a 9 años;1
014 Tumor maligno del hígado y vías biliares intrahepáticas;Hombres;De 10 a 14 años;2
014 Tumor maligno del hígado y vías biliares intrahepáticas;Hombres;De 15 a 19 años;0
014 Tumor maligno del hígado y vías biliares intrahepáticas;Hombres;De 20 a 24 años;1
014 Tumor maligno del hígado y vías biliares intrahepáticas;Hombres;De 25 a 29 años;3
014 Tumor maligno del hígado y vías biliares intrahepáticas;Hombres;De 30 a 34 años;7
014 Tumor maligno del hígado y vías biliares intrahepáticas;Hombres;De 35 a 39 años;11
014 Tumor maligno del hígado y vías biliares intrahepáticas;Hombres;De 40 a 44 años;26
014 Tumor maligno del hígado y vías biliares intrahepáticas;Hombres;De 45 a 49 años;52
014 Tumor maligno del hígado y vías biliares intrahepáticas;Hombres;De 50 a 54 años;184
014 Tumor maligno del hígado y vías biliares intrahepáticas;Hombres;De 55 a 59 años;338
014 Tumor maligno del hígado y vías biliares intrahepáticas;Hombres;De 60 a 64 años;405
014 Tumor maligno del hígado y vías biliares intrahepáticas;Hombres;De 65 a 69 años;485
014 Tumor maligno del hígado y vías biliares intrahepáticas;Hombres;De 70 a 74 años;589
014 Tumor maligno del hígado y vías biliares intrahepáticas;Hombres;De 75 a 79 años;523
014 Tumor maligno del hígado y vías biliares intrahepáticas;Hombres;De 80 a 84 años;471
014 Tumor maligno del hígado y vías biliares intrahepáticas;Hombres;De 85 a 89 años;362
014 Tumor maligno del hígado y vías biliares intrahepáticas;Hombres;De 90 a 94 años;112
014 Tumor maligno del hígado y vías biliares intrahepáticas;Hombres;De 95 años y más;15
015 Tumor maligno del páncreas;Hombres;Menores de 1 año;0
015 Tumor maligno del páncreas;Hombres;De 1 a 4 años;0
015 Tumor maligno del páncreas;Hombres;De 5 a 9 años;0
015 Tumor maligno del páncreas;Hombres;De 10 a 14 años;0
015 Tumor maligno del páncreas;Hombres;De 15 a 19 años;0
015 Tumor maligno del páncreas;Hombres;De 20 a 24 años;0
015 Tumor maligno del páncreas;Hombres;De 25 a 29 años;0
015 Tumor maligno del páncreas;Hombres;De 30 a 34 años;4
015 Tumor maligno del páncreas;Hombres;De 35 a 39 años;12
015 Tumor maligno del páncreas;Hombres;De 40 a 44 años;34
015 Tumor maligno del páncreas;Hombres;De 45 a 49 años;83
015 Tumor maligno del páncreas;Hombres;De 50 a 54 años;186
015 Tumor maligno del páncreas;Hombres;De 55 a 59 años;342
015 Tumor maligno del páncreas;Hombres;De 60 a 64 años;418
015 Tumor maligno del páncreas;Hombres;De 65 a 69 años;484
015 Tumor maligno del páncreas;Hombres;De 70 a 74 años;634
015 Tumor maligno del páncreas;Hombres;De 75 a 79 años;568
015 Tumor maligno del páncreas;Hombres;De 80 a 84 años;458
015 Tumor maligno del páncreas;Hombres;De 85 a 89 años;344
015 Tumor maligno del páncreas;Hombres;De 90 a 94 años;112
015 Tumor maligno del páncreas;Hombres;De 95 años y más;21
016 Otros tumores malignos digestivos;Hombres;Menores de 1 año;0
016 Otros tumores malignos digestivos;Hombres;De 1 a 4 años;0
016 Otros tumores malignos digestivos;Hombres;De 5 a 9 años;1
016 Otros tumores malignos digestivos;Hombres;De 10 a 14 años;1
016 Otros tumores malignos digestivos;Hombres;De 15 a 19 años;1
016 Otros tumores malignos digestivos;Hombres;De 20 a 24 años;0
016 Otros tumores malignos digestivos;Hombres;De 25 a 29 años;2
016 Otros tumores malignos digestivos;Hombres;De 30 a 34 años;1
016 Otros tumores malignos digestivos;Hombres;De 35 a 39 años;2
016 Otros tumores malignos digestivos;Hombres;De 40 a 44 años;11
016 Otros tumores malignos digestivos;Hombres;De 45 a 49 años;25
016 Otros tumores malignos digestivos;Hombres;De 50 a 54 años;39
016 Otros tumores malignos digestivos;Hombres;De 55 a 59 años;60
016 Otros tumores malignos digestivos;Hombres;De 60 a 64 años;91
016 Otros tumores malignos digestivos;Hombres;De 65 a 69 años;131
016 Otros tumores malignos digestivos;Hombres;De 70 a 74 años;164
016 Otros tumores malignos digestivos;Hombres;De 75 a 79 años;172
016 Otros tumores malignos digestivos;Hombres;De 80 a 84 años;192
016 Otros tumores malignos digestivos;Hombres;De 85 a 89 años;183
016 Otros tumores malignos digestivos;Hombres;De 90 a 94 años;88
016 Otros tumores malignos digestivos;Hombres;De 95 años y más;22
017 Tumor maligno de la laringe;Hombres;Menores de 1 año;0
017 Tumor maligno de la laringe;Hombres;De 1 a 4 años;0
017 Tumor maligno de la laringe;Hombres;De 5 a 9 años;0
017 Tumor maligno de la laringe;Hombres;De 10 a 14 años;0
017 Tumor maligno de la laringe;Hombres;De 15 a 19 años;0
017 Tumor maligno de la laringe;Hombres;De 20 a 24 años;0
017 Tumor maligno de la laringe;Hombres;De 25 a 29 años;0
017 Tumor maligno de la laringe;Hombres;De 30 a 34 años;0
017 Tumor maligno de la laringe;Hombres;De 35 a 39 años;2
017 Tumor maligno de la laringe;Hombres;De 40 a 44 años;4
017 Tumor maligno de la laringe;Hombres;De 45 a 49 años;18
017 Tumor maligno de la laringe;Hombres;De 50 a 54 años;47
017 Tumor maligno de la laringe;Hombres;De 55 a 59 años;107
017 Tumor maligno de la laringe;Hombres;De 60 a 64 años;174
017 Tumor maligno de la laringe;Hombres;De 65 a 69 años;164
017 Tumor maligno de la laringe;Hombres;De 70 a 74 años;177
017 Tumor maligno de la laringe;Hombres;De 75 a 79 años;148
017 Tumor maligno de la laringe;Hombres;De 80 a 84 años;149
017 Tumor maligno de la laringe;Hombres;De 85 a 89 años;96
017 Tumor maligno de la laringe;Hombres;De 90 a 94 años;48
017 Tumor maligno de la laringe;Hombres;De 95 años y más;11
018 Tumor maligno de la tráquea, de los bronquios y del pulmón;Hombres;Menores de 1 año;0
018 Tumor maligno de la tráquea, de los bronquios y del pulmón;Hombres;De 1 a 4 años;0
018 Tumor maligno de la tráquea, de los bronquios y del pulmón;Hombres;De 5 a 9 años;0
018 Tumor maligno de la tráquea, de los bronquios y del pulmón;Hombres;De 10 a 14 años;0
018 Tumor maligno de la tráquea, de los bronquios y del pulmón;Hombres;De 15 a 19 años;1
018 Tumor maligno de la tráquea, de los bronquios y del pulmón;Hombres;De 20 a 24 años;0
018 Tumor maligno de la tráquea, de los bronquios y del pulmón;Hombres;De 25 a 29 años;1
018 Tumor maligno de la tráquea, de los bronquios y del pulmón;Hombres;De 30 a 34 años;7
018 Tumor maligno de la tráquea, de los bronquios y del pulmón;Hombres;De 35 a 39 años;25
018 Tumor maligno de la tráquea, de los bronquios y del pulmón;Hombres;De 40 a 44 años;78
018 Tumor maligno de la tráquea, de los bronquios y del pulmón;Hombres;De 45 a 49 años;219
018 Tumor maligno de la tráquea, de los bronquios y del pulmón;Hombres;De 50 a 54 años;696
018 Tumor maligno de la tráquea, de los bronquios y del pulmón;Hombres;De 55 a 59 años;1.351
018 Tumor maligno de la tráquea, de los bronquios y del pulmón;Hombres;De 60 a 64 años;2.206
018 Tumor maligno de la tráquea, de los bronquios y del pulmón;Hombres;De 65 a 69 años;2.683
018 Tumor maligno de la tráquea, de los bronquios y del pulmón;Hombres;De 70 a 74 años;2.998
018 Tumor maligno de la tráquea, de los bronquios y del pulmón;Hombres;De 75 a 79 años;2.526
018 Tumor maligno de la tráquea, de los bronquios y del pulmón;Hombres;De 80 a 84 años;2.166
018 Tumor maligno de la tráquea, de los bronquios y del pulmón;Hombres;De 85 a 89 años;1.446
018 Tumor maligno de la tráquea, de los bronquios y del pulmón;Hombres;De 90 a 94 años;474
018 Tumor maligno de la tráquea, de los bronquios y del pulmón;Hombres;De 95 años y más;58
019 Otros tumores malignos respiratorios e intratorácicos;Hombres;Menores de 1 año;0
019 Otros tumores malignos respiratorios e intratorácicos;Hombres;De 1 a 4 años;0
019 Otros tumores malignos respiratorios e intratorácicos;Hombres;De 5 a 9 años;0
019 Otros tumores malignos respiratorios e intratorácicos;Hombres;De 10 a 14 años;0
019 Otros tumores malignos respiratorios e intratorácicos;Hombres;De 15 a 19 años;1
019 Otros tumores malignos respiratorios e intratorácicos;Hombres;De 20 a 24 años;1
019 Otros tumores malignos respiratorios e intratorácicos;Hombres;De 25 a 29 años;0
019 Otros tumores malignos respiratorios e intratorácicos;Hombres;De 30 a 34 años;4
019 Otros tumores malignos respiratorios e intratorácicos;Hombres;De 35 a 39 años;5
